word,part_of_speech
barmhärtig,adj
barn,subst
barna-sinne,subst
barna-vård,subst
barnavårds-central,subst
barnavårds-nämnd,subst
barn-barn,subst
barn-begränsning,subst
barn-bidrag,subst
barn-daghem,se daghe
barndom,subst
barn-flicka,subst
barn-förlamning,subst
barn-hem,subst
barn-koloni,subst
barn-lek,subst
barn-morska,subst
barn-omsorg,subst
barn-passning,subst
barn-pension,subst
barn-samarit,subst
barns-ben,subst
barns-börd,subst
barn-sjukdom,subst
barnslig,adj
barn-stuga,subst
barn-tillsyn,subst
barn-tillägg,subst
barn-vakt,subst
barn-vårdare,se barnsamari
barock 1,adj
barock 2,subst
barometer,subst
baron,subst
barr 1,subst
barr 2,subst
barrikad,subst
barriär,subst
barsk,adj
bar-skrapad,adj
bar-tender,subst
baryton,subst
bas 1,subst
bas 2,subst
ba-samtal,subst
basar 1,subst
basar 2,ver
bas-belopp,subst
baserar,ver
bas-fiol,subst
basilika,subst
basis,subst
bask,subst
basker,subst
basket,subst
basket-boll,subst
baskisk,adj
bas-linje,subst
bassäng,subst
bast,subst
basta,interj
bastant,adj
bastar,ver
bastard,subst
bastion,subst
bastu,subst
basun,subst
basunerar ut,ver
batalj,subst
bataljon,subst
batik,subst
batist,subst
batong,subst
batteri,subst
bauta-sten,subst
baxnar,ver
bazooka,subst
BB,förk
beaktar,ver
bearbetar,ver
beatnik,subst
beblandar sig,ver
bebodd,adj
bebor,ver
bebyggelse,subst
bebygger,ver
bebådar,ver
bebådelse,subst
beck,subst
becquerel (Bq),subst
bed,se be
bedagad,adj
bedarrar,ver
beder,se be
bedjande,adj
bedragare,subst
bedragit,se bedra
bedrar,ver
bedrift,subst
bedriver,ver
bedrog,se bedra
bedrägeri,subst
bedräglig,adj
bedrövad,adj
bedrövar,ver
bedrövelse,subst
bedrövlig,adj
beduin,subst
bedyrar,ver
bedårar,ver
bedömer,ver
bedömning,subst
bedövning,subst
befaller,ver
befallning,subst
befann,se befinner si
befarar,ver
befattar sig,ver
befattning,subst
befinner sig,ver
befintlig,adj
befläckar,ver
befogad,adj
befogenhet,subst
befolkar,ver
befolkning,subst
befordran,subst
befordrar,ver
befriande,adj
befriar,ver
befrielse,subst
befruktar,ver
befruktning,subst
befrämjar,ver
befunnit,se befinner si
befäl,subst
befängd,adj
befäster,ver
befästning,subst
begagnar,ver
begav sig,se beger si
begeistrad,adj
beger sig,ver
begett,se beger si
begivenhet,subst
begonia,subst
begraver,ver
begravning,subst
begravnings-byrå,subst
begrep,se begripe
begrepp,subst
begriper,ver
begriplig,adj
begrundar,ver
begråter,ver
begränsar,ver
